time_exchange_hour,volume_prior_to_this_hour,vwap_prior_to_this_hour
2016-04-27T01:00:00.000000,1512.0290646899994,7.358171247071058
2016-04-27T02:00:00.000000,1293.42007546,7.358277618838701
2016-04-27T03:00:00.000000,263.8386286199999,7.408999699365087
2016-04-27T04:00:00.000000,492.28170839000006,7.418338558681014
2016-04-27T05:00:00.000000,281.63768584,7.414705175506317
2016-04-27T06:00:00.000000,39.8562615,7.3836636202224835
2016-04-27T07:00:00.000000,785.4264933199996,7.363371233539289
2016-04-27T08:00:00.000000,360.60510127000003,7.496718769817465
2016-04-27T09:00:00.000000,289.65531489,7.54029143541286
2016-04-27T10:00:00.000000,1780.5971765600002,7.644276062501431
2016-04-27T11:00:00.000000,5651.402450229998,7.7905278506970514
2016-04-27T12:00:00.000000,1746.16611566,7.785803840555399
2016-04-27T13:00:00.000000,4645.292130590001,7.8018996088757495
2016-04-27T14:00:00.000000,2532.0499349599995,7.728007733045255
2016-04-27T15:00:00.000000,1398.75532942,7.873589370521418
2016-04-27T16:00:00.000000,75.05855519,7.809233160745045
2016-04-27T17:00:00.000000,754.4446599100002,7.755555106683922
2016-04-27T18:00:00.000000,429.82796286,7.765091937355156
2016-04-27T19:00:00.000000,51.07638988,7.676753341617944
2016-04-27T20:00:00.000000,588.72364297,7.746819571713462
2016-04-27T21:00:00.000000,594.08247571,7.837979893144112
2016-04-27T22:00:00.000000,155.18218288000003,7.775485177621922
2016-04-27T23:00:00.000000,35.562336130000006,7.808549694267651
2016-04-28T00:00:00.000000,751.01378765,7.819325971374002
