time_period_end,volume_traded,price_close
2017-04-18T01:00:00.000000,5577.24616966,49.7
2017-04-18T02:00:00.000000,2833.36420222,50.006
2017-04-18T03:00:00.000000,8356.52387822,50.491
2017-04-18T04:00:00.000000,3736.91803924,50.267
2017-04-18T05:00:00.000000,2291.09520198,50.0
2017-04-18T06:00:00.000000,5617.48593488,50.191
2017-04-18T07:00:00.000000,5090.25693343,50.349
2017-04-18T08:00:00.000000,5236.65561904,50.369
2017-04-18T09:00:00.000000,3945.67468471,50.471
2017-04-18T10:00:00.000000,23162.68360997,50.999
2017-04-18T11:00:00.000000,17311.56876356,51.121
2017-04-18T12:00:00.000000,5190.73053722,51.339
2017-04-18T13:00:00.000000,22478.43755439,51.95
2017-04-18T14:00:00.000000,11861.80832795,51.8
2017-04-18T15:00:00.000000,15385.06502608,52.29
2017-04-18T16:00:00.000000,10604.11523601,52.319
2017-04-18T17:00:00.000000,9231.58193545,51.95
2017-04-18T18:00:00.000000,5464.77819796,52.14
2017-04-18T19:00:00.000000,2908.16192858,52.1
2017-04-18T20:00:00.000000,2528.81563966,52.01
2017-04-18T21:00:00.000000,11599.52681901,52.105
2017-04-18T22:00:00.000000,1980.05330837,52.37
2017-04-18T23:00:00.000000,1087.56464692,52.649
2017-04-19T00:00:00.000000,412.90812187,52.424
