time_exchange;time_coinpai;guid;price;base_amount;taker_side
2016-02-10T00:02:21.000000;2016-02-10T00:02:21.000000;e8562da8-e288-4d5a-b3b1-308370826134;374.43;2.44894398;UNKNOWN
2016-02-10T00:02:21.000000;2016-02-10T00:02:21.000000;ba055243-74a6-4f34-8739-c750bae446cd;374.43;0.30105602;UNKNOWN
2016-02-10T00:03:12.000000;2016-02-10T00:03:12.000000;00295d5b-a64e-480c-b756-bdcc046ccec4;374.18;2.0;UNKNOWN
2016-02-10T00:04:20.000000;2016-02-10T00:04:20.000000;5207d4cc-b6e1-4718-9b2b-8168ba920ff9;373.96;4.25;UNKNOWN
2016-02-10T00:04:23.000000;2016-02-10T00:04:23.000000;d92ee0c3-4bf6-41ae-b2d6-7052fa720a22;373.95;5.84;UNKNOWN
2016-02-10T00:04:26.000000;2016-02-10T00:04:26.000000;4b31aed6-8689-49d9-bd3d-6e683408d736;373.95;1.21;UNKNOWN
2016-02-10T00:04:29.000000;2016-02-10T00:04:29.000000;812f0257-dcd0-4860-9089-2e0dd47a85a2;373.95;4.6;UNKNOWN
2016-02-10T00:04:32.000000;2016-02-10T00:04:32.000000;fade10f2-7afd-4af0-a13c-6bcdd1928d34;373.96;1.16;UNKNOWN
2016-02-10T00:04:36.000000;2016-02-10T00:04:36.000000;7a118130-7cff-4ec1-a902-0575deb856e4;373.96;3.86;UNKNOWN
2016-02-10T00:04:41.000000;2016-02-10T00:04:41.000000;5300734d-8d33-4757-a5a6-f166ef812fa0;373.95;0.22145345;UNKNOWN
2016-02-10T00:04:42.000000;2016-02-10T00:04:42.000000;e2caea2d-b7de-4f08-9c7c-ff0c354b00fe;373.95;0.42;UNKNOWN
2016-02-10T00:04:46.000000;2016-02-10T00:04:46.000000;0b5232f5-ed79-4a23-902e-0af627f01a70;373.95;1.39;UNKNOWN
2016-02-10T00:04:50.000000;2016-02-10T00:04:50.000000;4345ba64-8b85-4d28-9841-812a39e18445;373.95;0.88;UNKNOWN
2016-02-10T00:04:53.000000;2016-02-10T00:04:53.000000;3fca746c-4e55-4d63-8300-3070be335e14;373.95;6.93;UNKNOWN
2016-02-10T00:04:56.000000;2016-02-10T00:04:56.000000;0dfad192-0f95-4583-8182-c449d0f42962;373.95;0.14393704;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;c456f22c-f532-474b-ba1e-b984247e77be;373.4;0.1;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;b0764fe8-5356-4efe-a56d-c74c0c63c824;373.8;0.05;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;f7b173e6-9cbb-4969-9ade-04367834dd9b;373.8;0.1;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;3ffebdb7-a51c-4bb0-9ce2-b1524a592d8f;373.4;0.0489;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;e52d54fd-4e14-4111-856a-f30e6fc2d03e;373.7;0.1;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;7b2a2c9b-7841-4d9e-874f-69f3ca12b490;373.6;0.1;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;88e3d9a4-d1bd-4f28-a13d-cfe7158e775b;373.5;0.1;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;2db25f99-263e-4014-bf73-8cde08d9ea9b;373.9;0.1;UNKNOWN
2016-02-10T00:05:18.000000;2016-02-10T00:05:18.000000;16dd1967-1e7b-423c-ab79-7036b2aff945;373.49;0.1;UNKNOWN
2016-02-10T00:05:21.000000;2016-02-10T00:05:21.000000;e75c671b-6517-4768-bf84-f461009201a4;373.39;0.01366734;UNKNOWN
