time_exchange_hour,volume_prior_to_this_hour,vwap_prior_to_this_hour
2016-01-18T01:00:00.000000,935.027000400001,382.75999529251
2016-01-18T02:00:00.000000,273.50300084,384.5153484764163
2016-01-18T03:00:00.000000,472.1776525300002,383.5777228372359
2016-01-18T04:00:00.000000,577.2863171900003,382.66752146318703
2016-01-18T05:00:00.000000,641.9389619599999,381.45968351577426
2016-01-18T06:00:00.000000,3854.7313933000137,377.6693446888181
2016-01-18T07:00:00.000000,708.2691377199989,377.90787058612506
2016-01-18T08:00:00.000000,464.85374285999984,377.8242539800515
2016-01-18T09:00:00.000000,1152.8248868599994,381.7506519619455
2016-01-18T10:00:00.000000,302.08442260000027,383.5620337970462
2016-01-18T11:00:00.000000,457.78523970000026,383.32659876599945
2016-01-18T12:00:00.000000,185.24077585999993,383.98700849630836
2016-01-18T13:00:00.000000,257.3665748899999,384.18638579325943
2016-01-18T14:00:00.000000,3088.5785819100042,388.613542549143
2016-01-18T15:00:00.000000,614.6954050100006,387.68026610554443
2016-01-18T16:00:00.000000,333.0746484,386.9091271126305
2016-01-18T17:00:00.000000,1661.9423320999992,387.97370696431256
2016-01-18T18:00:00.000000,617.9145250800004,387.59386866353844
2016-01-18T19:00:00.000000,502.92339261999985,387.7880782395663
2016-01-18T20:00:00.000000,321.76321194999974,387.32889782639745
2016-01-18T21:00:00.000000,291.94843703000004,386.70560379329584
2016-01-18T22:00:00.000000,948.3347268199999,385.55977724885344
2016-01-18T23:00:00.000000,503.5046710999998,387.56520354774574
2016-01-19T00:00:00.000000,301.27500495999993,386.5568984669522
