time_exchange;time_coinpai;guid;price;base_amount;taker_side
2016-01-17T00:00:57.187000;2016-01-17T00:00:57.203000;3191a947-036e-4a1f-9e6e-1926c797949a;388.18;0.01;SELL
2016-01-17T00:00:57.187000;2016-01-17T00:00:57.203000;bed25684-6b04-48b6-85e4-12f15fd3249b;388.17;0.01;SELL
2016-01-17T00:01:02.790000;2016-01-17T00:01:02.813000;9fa62608-ba4f-4b02-a23a-9d61922d8d34;388.14;0.01;SELL
2016-01-17T00:01:02.790000;2016-01-17T00:01:02.813000;7e4e3459-253b-4271-b2ed-32afd18ea074;388.13;0.01;SELL
2016-01-17T00:01:02.790000;2016-01-17T00:01:02.813000;cd6d83c4-c6b0-4b34-8f7a-62d5f7f40a5f;388.12;0.01;SELL
2016-01-17T00:01:02.790000;2016-01-17T00:01:02.813000;8448d9d2-2605-43e9-8ec2-e1312eca7d7f;388.11;0.01;SELL
2016-01-17T00:01:03.103000;2016-01-17T00:01:03.123000;21481fe3-9c93-4894-b553-bf8f4f718a7c;388.03;0.01;SELL
2016-01-17T00:01:03.103000;2016-01-17T00:01:03.123000;f044a29e-5b4a-40a9-8aa0-0309f56de51d;388.02;0.01;SELL
2016-01-17T00:01:03.103000;2016-01-17T00:01:03.123000;09cb50c1-d09c-46d6-b221-dbbe655efc3a;388.01;0.01;SELL
2016-01-17T00:01:03.103000;2016-01-17T00:01:03.123000;417f8dc6-02f0-4c44-b47d-fff18a95216b;388.0;0.219999;SELL
2016-01-17T00:01:05.653000;2016-01-17T00:01:05.670000;01714d9e-9127-4b4e-b6fa-58adca6357bc;388.0;0.249999;SELL
2016-01-17T00:01:07.707000;2016-01-17T00:01:07.720000;f362dc83-994b-416a-b5cb-6bd880716ab2;388.0;0.249999;SELL
2016-01-17T00:01:24.817000;2016-01-17T00:01:24.827000;755e6873-7d0b-43de-a844-8befde0a6042;388.0;0.07;SELL
2016-01-17T00:01:37.063000;2016-01-17T00:01:37.077000;62f32a2f-f42a-4944-a38d-b4a31a7aea56;388.01;2.1334;BUY
2016-01-17T00:02:06.873000;2016-01-17T00:02:06.890000;952db8bc-cda8-4b6b-9ed2-ed9ef2adb661;388.01;1.1167;BUY
2016-01-17T00:02:36.933000;2016-01-17T00:02:36.937000;371cc528-4a94-4646-9723-4ac3f514e45e;388.01;7.1499;BUY
2016-01-17T00:02:56.733000;2016-01-17T00:02:56.733000;46572ea7-7596-446a-8603-2439a65b16d9;388.0;0.210003;SELL
2016-01-17T00:02:56.733000;2016-01-17T00:02:56.750000;e040a14a-e6de-4717-8e09-ac40d9588262;388.0;2.27346794;SELL
2016-01-17T00:03:10.657000;2016-01-17T00:03:10.657000;21395ec9-9a4b-4a1d-86e9-21f8ddb67b21;388.01;0.5791;BUY
2016-01-17T00:03:37.567000;2016-01-17T00:03:37.577000;8bdb740e-ddc6-4a4f-909f-002f28785695;388.0;3.36653206;SELL
2016-01-17T00:03:37.567000;2016-01-17T00:03:37.577000;13ab3fb6-8e2b-4203-afe6-a93ed2967c4b;388.0;8.0;SELL
2016-01-17T00:03:37.567000;2016-01-17T00:03:37.577000;b796bb3a-1b3e-44d8-af3f-c8452c1d7e55;388.0;8.88;SELL
2016-01-17T00:03:37.567000;2016-01-17T00:03:37.593000;d084e63f-9701-400f-b868-f2d111e6553c;387.98;0.82336794;SELL
2016-01-17T00:04:07.120000;2016-01-17T00:04:07.123000;e64095ac-479d-4f1a-9aa7-a5c424776413;387.98;0.46663206;SELL
2016-01-17T00:04:07.203000;2016-01-17T00:04:07.220000;fc12f178-3e2b-44ec-b69a-6482ae79467e;387.99;0.324;BUY
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.267000;25bbaf07-c9c1-47da-bbf7-47a8ec6bc623;387.95;0.1;SELL
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.280000;25092dae-ab5e-4297-b477-786841acaa61;387.94;0.01;SELL
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.280000;8d5d3360-51ae-4f95-aa13-773615c63d1e;387.76;0.01;SELL
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.280000;782b940b-4d7c-4676-b140-745e529a3643;387.75;0.01;SELL
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.280000;fb3e1e53-e8b6-48fd-89b7-d71d99976236;387.73;0.0528;SELL
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.280000;ef803dc2-b918-4721-9400-a5467ec70b04;387.63;0.01;SELL
2016-01-17T00:04:11.257000;2016-01-17T00:04:11.280000;5382d84f-3533-4f4e-87a4-917be7e0563e;387.54;0.01;SELL
2016-01-17T00:04:11.260000;2016-01-17T00:04:11.280000;be518aac-e8ad-4f07-a9da-528af1c2ccc4;387.51;0.01;SELL
2016-01-17T00:04:11.343000;2016-01-17T00:04:11.343000;a824c1f8-c691-4fd2-8112-6a1d7e544379;387.45;0.0527;BUY
2016-01-17T00:04:17.573000;2016-01-17T00:04:17.577000;b67c887c-6469-476c-9d72-e7aa188955f2;387.41;0.01;SELL
2016-01-17T00:04:17.573000;2016-01-17T00:04:17.593000;1611f95d-8336-49cc-bc41-38eacae3c96b;387.41;0.25;SELL
2016-01-17T00:04:17.577000;2016-01-17T00:04:17.593000;c699a9f1-057b-43be-8976-032d5026fbac;387.4;3.0;SELL
2016-01-17T00:04:21.977000;2016-01-17T00:04:22.017000;e0063ec9-3c41-4dc0-8055-a5ef10a40d71;387.33;0.01;SELL
2016-01-17T00:04:29.480000;2016-01-17T00:04:29.483000;8ae45da9-a418-4ab5-80fd-59290b50c371;387.32;0.01;SELL
2016-01-17T00:04:29.480000;2016-01-17T00:04:29.500000;4083cd80-bb6a-40e8-9eca-204a6d7ed541;387.31;0.01;SELL
2016-01-17T00:04:29.480000;2016-01-17T00:04:29.500000;5452c92d-a461-474c-b485-57a40daaa716;387.29;0.01;SELL
2016-01-17T00:04:29.480000;2016-01-17T00:04:29.500000;9cef9a7c-9cc3-491e-9eb4-994a2cc7355a;387.29;0.25;SELL
2016-01-17T00:04:29.480000;2016-01-17T00:04:29.500000;dd9819a1-8eaf-40d4-97b6-f39693ea2929;387.28;0.01;SELL
2016-01-17T00:04:29.480000;2016-01-17T00:04:29.517000;b5730cc3-4083-4c41-9eef-f31c9c9a00c2;387.27;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.797000;9b5ef6b5-eb8e-4cec-ba82-247c6ce51a0a;387.2;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.813000;cd8895ee-410b-4046-833f-a93543ef8cd2;387.19;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.813000;a2f7c95d-3092-4332-bc77-fcf0d12f4e94;387.12;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.813000;afb1618e-ca88-4344-b246-444afde25256;387.01;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.813000;c3768159-a5ee-4cce-b885-a87ebee51286;386.97;0.25;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.827000;a531cad1-5491-4b58-b584-a2b4cbaa3b38;386.96;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.827000;32d00a15-cedc-4c47-a1fa-356199a28465;386.94;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.827000;4e24afa9-5b20-4462-939c-4e330b0e1460;386.93;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.843000;1e62cebf-c2f9-471f-8c2a-bd5367bd149f;386.92;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.843000;862fc89d-2adc-453f-a1ef-55ce17cadc0a;386.69;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.843000;07ec3118-a5c0-41e1-9bdd-153bbe3da1ae;386.67;0.1;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.843000;c21b6c3d-4e91-4890-9571-788c297dcfba;386.58;0.01;SELL
2016-01-17T00:04:37.797000;2016-01-17T00:04:37.843000;792e10a4-1a45-4a22-a37a-10dcf4c371ab;386.58;0.0005;SELL
2016-01-17T00:04:47.263000;2016-01-17T00:04:47.267000;c0a86731-f451-42c8-8cef-b20aefd072cf;386.64;0.01;SELL
2016-01-17T00:04:47.263000;2016-01-17T00:04:47.267000;c578799e-ca6a-4629-905e-f0959232cfae;386.63;0.01;SELL
2016-01-17T00:04:47.263000;2016-01-17T00:04:47.280000;c4a79448-33e9-4dd3-9cf7-7c0a93bf751d;386.62;0.01;SELL
