time_period_end,volume_traded,price_close
2015-01-27T01:00:00.000000,324.70554475,265.1
2015-01-27T02:00:00.000000,162.67667192,258.5
2015-01-27T03:00:00.000000,44.16291476,261.2
2015-01-27T04:00:00.000000,52.376897,257.41
2015-01-27T05:00:00.000000,79.10562183,260.53
2015-01-27T06:00:00.000000,43.49254719,258.73
2015-01-27T07:00:00.000000,38.48328417,260.0
2015-01-27T08:00:00.000000,41.29719643,258.99
2015-01-27T09:00:00.000000,5.97817,257.67
2015-01-27T10:00:00.000000,20.54288414,258.78
2015-01-27T11:00:00.000000,112.03220751,249.81
2015-01-27T12:00:00.000000,39.49337396,250.54
2015-01-27T13:00:00.000000,1.0,257.5
2015-01-27T14:00:00.000000,25.3793956,264.35
2015-01-27T15:00:00.000000,26.789344,264.39
2015-01-27T16:00:00.000000,11.075424,261.5
2015-01-27T17:00:00.000000,41.848688,262.0
2015-01-27T18:00:00.000000,160.84534189,264.14
2015-01-27T19:00:00.000000,14.72255829,264.9
2015-01-27T20:00:00.000000,52.55825618,264.5
2015-01-27T21:00:00.000000,119.48119567,262.97
2015-01-27T22:00:00.000000,111.72277344,260.99
2015-01-27T23:00:00.000000,74.18196163,263.94
2015-01-28T00:00:00.000000,26.25951317,263.65
