time_period_end,volume_traded,price_close
2016-06-22T01:00:00.000000,2935.97062601,680.46
2016-06-22T02:00:00.000000,2561.46535308,671.84
2016-06-22T03:00:00.000000,1871.17270668,673.71
2016-06-22T04:00:00.000000,1725.14529585,657.9
2016-06-22T05:00:00.000000,1867.94129294,661.21
2016-06-22T06:00:00.000000,2661.81656521,671.84
2016-06-22T07:00:00.000000,1040.9225914,667.03
2016-06-22T08:00:00.000000,2538.75074581,675.06
2016-06-22T09:00:00.000000,3215.91178117,683.29
2016-06-22T10:00:00.000000,1034.71747741,674.97
2016-06-22T11:00:00.000000,1664.56314119,671.08
2016-06-22T12:00:00.000000,1347.17537956,666.74
2016-06-22T13:00:00.000000,718.44046598,668.79
2016-06-22T14:00:00.000000,1435.96130238,667.04
2016-06-22T15:00:00.000000,1471.5575523,668.5
2016-06-22T16:00:00.000000,4267.25083628,650.0
2016-06-22T17:00:00.000000,21778.18578113,636.74
2016-06-22T18:00:00.000000,4273.56232617,625.8
2016-06-22T19:00:00.000000,10598.68870447,630.0
2016-06-22T20:00:00.000000,3825.50196123,626.97
2016-06-22T21:00:00.000000,3886.19525786,615.32
2016-06-22T22:00:00.000000,3893.63311614,625.01
2016-06-22T23:00:00.000000,10722.04206074,602.48
2016-06-23T00:00:00.000000,9190.67106708,605.85
