time_exchange_hour,volume_prior_to_this_hour,vwap_prior_to_this_hour
2016-01-11T01:00:00.000000,513.0658012199991,450.94630154729975
2016-01-11T02:00:00.000000,389.5385485599995,451.51402451529276
2016-01-11T03:00:00.000000,233.43291567000009,451.94089087281316
2016-01-11T04:00:00.000000,293.01650998999924,452.0631676914516
2016-01-11T05:00:00.000000,119.08870151000006,451.9038574279976
2016-01-11T06:00:00.000000,125.8157297900002,451.560105178549
2016-01-11T07:00:00.000000,200.39683719,449.5008217262764
2016-01-11T08:00:00.000000,235.5804099599992,446.7453581762032
2016-01-11T09:00:00.000000,107.66165290999999,446.5939619711488
2016-01-11T10:00:00.000000,72.78611425999989,446.87739212860146
2016-01-11T11:00:00.000000,152.07826803000026,446.52801002610636
2016-01-11T12:00:00.000000,100.64415020000028,447.1543183018048
2016-01-11T13:00:00.000000,274.4417285399999,447.36766553364725
2016-01-11T14:00:00.000000,163.38968817000077,447.797377612242
2016-01-11T15:00:00.000000,257.88753300000025,447.73748782120686
2016-01-11T16:00:00.000000,367.3680380999998,447.1904430285077
2016-01-11T17:00:00.000000,471.84744880999904,448.86187472785343
2016-01-11T18:00:00.000000,182.3498802200011,448.80448948574207
2016-01-11T19:00:00.000000,245.7003648900008,449.109407718474
2016-01-11T20:00:00.000000,257.65478013999996,448.65892330390915
2016-01-11T21:00:00.000000,203.3360948799999,448.50283827573725
2016-01-11T22:00:00.000000,251.43584745000004,448.87949091511524
2016-01-11T23:00:00.000000,158.32303836000023,449.09776324210225
2016-01-12T00:00:00.000000,220.79710130000066,449.3235678599501
