time_period_end,volume_traded,price_open,price_close,price_high,price_low,trades_count
2017-12-30T00:00:00.000000,256146.07977236,0.00718216,0.00740405,0.008,0.00700011,2138
2017-12-31T00:00:00.000000,238228.7686025,0.00740406,0.0069993,0.00740406,0.00669758,1680
2018-01-01T00:00:00.000000,55670.6611066,0.00709797,0.0071337,0.00717729,0.00681001,334
2018-01-02T00:00:00.000000,49014.14286834,0.00713364,0.00699482,0.00721546,0.00687823,463
2018-01-03T00:00:00.000000,151741.41055624,0.0069961,0.00710692,0.00730892,0.00647972,942
2018-01-04T00:00:00.000000,63315.96038184,0.00691385,0.00714293,0.00742,0.00665624,550
2018-01-05T00:00:00.000000,55902.7514265,0.00714293,0.00786706,0.00832448,0.00672281,623
2018-01-06T00:00:00.000000,25019.14227898,0.00757171,0.00730642,0.00790016,0.007,408
2018-01-07T00:00:00.000000,39787.56473795,0.00730642,0.00736818,0.00753772,0.00710001,340
2018-01-08T00:00:00.000000,44273.61985311,0.00736822,0.00731771,0.00767228,0.00717104,422
2018-01-09T00:00:00.000000,180412.35238452,0.0073212,0.0075,0.00776461,0.00728,1239
2018-01-10T00:00:00.000000,107163.48905639,0.0075,0.00767838,0.00774758,0.00734937,934
2018-01-11T00:00:00.000000,128666.7620397,0.00767835,0.00735045,0.0076929,0.00725059,1060
2018-01-12T00:00:00.000000,55417.12843878,0.00735047,0.00743973,0.00752503,0.00720001,360
2018-01-13T00:00:00.000000,25030.17159104,0.00743973,0.00722732,0.0075,0.00722724,211
2018-01-14T00:00:00.000000,16678.30586834,0.00722731,0.00725151,0.00746791,0.00720096,224
2018-01-15T00:00:00.000000,17209.62002947,0.00725151,0.00706177,0.00742998,0.00706177,195
2018-01-16T00:00:00.000000,49734.14406296,0.00706257,0.00683823,0.00729547,0.00675299,302
2018-01-17T00:00:00.000000,52135.04409674,0.00683827,0.0065892,0.00700363,0.006578,321
2018-01-18T00:00:00.000000,38835.92106797,0.00658617,0.00660334,0.0069033,0.0064,230
2018-01-19T00:00:00.000000,16729.75962062,0.00660332,0.0066289,0.00702999,0.00655367,241
2018-01-20T00:00:00.000000,5580.91892244,0.00662927,0.00685043,0.00703,0.00662912,134
2018-01-21T00:00:00.000000,51345.30773258,0.00685043,0.00699,0.00832626,0.00663128,723
2018-01-22T00:00:00.000000,24493.16963068,0.00685859,0.00677264,0.00709962,0.00670558,233
2018-01-23T00:00:00.000000,21614.52425006,0.0068,0.00668477,0.00704337,0.00665251,254
2018-01-24T00:00:00.000000,6679.27229391,0.0067,0.00678246,0.00691913,0.0067,64
2018-01-25T00:00:00.000000,2203.2984271,0.00672519,0.00671995,0.0069035,0.00671995,67
2018-01-26T00:00:00.000000,39295.31043864,0.00671995,0.0068,0.00731939,0.00665251,551
2018-01-27T00:00:00.000000,12506.60539734,0.0068,0.00663127,0.0068,0.00663127,233
2018-01-28T00:00:00.000000,21284.59918995,0.00663127,0.00663129,0.00744323,0.00663127,361
2018-01-29T00:00:00.000000,29194.30094621,0.00669758,0.0065129,0.00675164,0.00648793,321
2018-01-30T00:00:00.000000,6061.2872928,0.0065129,0.00643957,0.00658875,0.00633302,132
2018-01-31T00:00:00.000000,15467.66271467,0.00643958,0.00630389,0.00643958,0.0063,121
2018-02-01T00:00:00.000000,26892.63140763,0.00630389,0.00620668,0.00641298,0.00617184,142
2018-02-02T00:00:00.000000,33200.44353032,0.00620677,0.00618985,0.00739172,0.00609938,537
2018-02-03T00:00:00.000000,31299.12821925,0.00618732,0.00626405,0.00650155,0.00609601,273
2018-02-04T00:00:00.000000,6510.41360071,0.00626328,0.006235,0.00641787,0.006235,135
2018-02-05T00:00:00.000000,7369.54394779,0.006339,0.00622451,0.00641675,0.00620257,101
2018-02-06T00:00:00.000000,43683.81277541,0.00630856,0.00617417,0.00630856,0.0060188,165
2018-02-07T00:00:00.000000,30818.83339615,0.00616547,0.00611191,0.00616548,0.0059,194
2018-02-08T00:00:00.000000,3004.7332834,0.00611191,0.00603501,0.00619795,0.00597536,101
2018-02-09T00:00:00.000000,18976.09333606,0.00595277,0.00593618,0.00618173,0.00593014,118
2018-02-10T00:00:00.000000,12626.41209848,0.00598944,0.00603731,0.00626956,0.00594188,79
2018-02-11T00:00:00.000000,3074.59934418,0.00611654,0.00598014,0.00611654,0.00596649,49
2018-02-12T00:00:00.000000,9028.39748443,0.00602615,0.00607359,0.00607359,0.0059165,62
2018-02-13T00:00:00.000000,11503.5571439,0.00596358,0.005938,0.00604093,0.00592973,78
2018-02-14T00:00:00.000000,26595.20324563,0.005938,0.00592837,0.0066,0.00588009,280
2018-02-15T00:00:00.000000,16532.83542704,0.00592001,0.00590863,0.00604221,0.00587744,125
2018-02-16T00:00:00.000000,3310.05655809,0.005922,0.00591357,0.00603574,0.00590664,50
2018-02-17T00:00:00.000000,6413.37177617,0.00591357,0.00589586,0.00603498,0.00584522,76
2018-02-18T00:00:00.000000,11036.35335487,0.00589698,0.00611002,0.0061143,0.00589696,149
2018-02-19T00:00:00.000000,48753.48848944,0.00611002,0.00597407,0.00727984,0.00593783,508
2018-02-20T00:00:00.000000,8015.25314222,0.00597407,0.00593029,0.00607816,0.00589347,106
2018-02-21T00:00:00.000000,16656.98539141,0.00592001,0.00589427,0.00604504,0.00589,121
2018-02-22T00:00:00.000000,5369.78542513,0.00589427,0.00585197,0.0059762,0.00580552,99
2018-02-23T00:00:00.000000,2268.75395476,0.00585197,0.00584769,0.00597607,0.00580966,44
2018-02-24T00:00:00.000000,7262.82941892,0.00584769,0.00582445,0.00585905,0.00582356,58
2018-02-25T00:00:00.000000,7425.66343239,0.00585005,0.00591436,0.00594321,0.00576404,52
2018-02-26T00:00:00.000000,1748.33602142,0.00578232,0.00574998,0.00578232,0.00572376,13
2018-02-27T00:00:00.000000,1654.0465561,0.00574975,0.00569462,0.00584799,0.00568367,38
2018-02-28T00:00:00.000000,5130.5520196,0.00572651,0.00574439,0.0058415,0.0057265,71
2018-03-01T00:00:00.000000,11161.59685106,0.00574948,0.0056369,0.0058434,0.00561232,85
2018-03-02T00:00:00.000000,7445.71032616,0.00563691,0.00573709,0.00592571,0.00561232,86
2018-03-03T00:00:00.000000,5300.14362728,0.00577841,0.005785,0.00595983,0.00573641,65
2018-03-04T00:00:00.000000,19794.94371305,0.00585991,0.00580745,0.0062105,0.00575003,200
2018-03-05T00:00:00.000000,7349.0198857,0.00584999,0.00574788,0.00588351,0.00573298,112
2018-03-06T00:00:00.000000,1892.88403654,0.00575343,0.00576859,0.00586283,0.00575343,32
2018-03-07T00:00:00.000000,9763.2053146,0.00573303,0.00572615,0.00586088,0.005654,84
2018-03-08T00:00:00.000000,5316.03440015,0.00570123,0.00556807,0.00578598,0.00556001,75
2018-03-09T00:00:00.000000,7696.47385236,0.00556001,0.00554961,0.0057891,0.00553223,61
2018-03-10T00:00:00.000000,11325.1306655,0.00555242,0.00549977,0.00558085,0.0054453,94
2018-03-11T00:00:00.000000,2783.12832296,0.00550238,0.00550785,0.00560878,0.00550238,41
2018-03-12T00:00:00.000000,2987.98813834,0.0054908,0.00547889,0.00582354,0.00547651,52
2018-03-13T00:00:00.000000,2828.10911891,0.00553128,0.00540426,0.00563991,0.00539104,33
2018-03-14T00:00:00.000000,2587.03950362,0.0054603,0.00554804,0.00561039,0.00538993,26
2018-03-15T00:00:00.000000,507.00341656,0.00541329,0.00544999,0.00557718,0.00537,45
2018-03-16T00:00:00.000000,9509.11933316,0.005351,0.00534235,0.00544908,0.00528255,67
2018-03-17T00:00:00.000000,2108.16640793,0.00533257,0.00537463,0.005425,0.00527077,37
2018-03-18T00:00:00.000000,2789.72762875,0.00537798,0.00532241,0.00542119,0.00529725,50
2018-03-19T00:00:00.000000,13912.65217722,0.00542119,0.00549539,0.00549539,0.00526426,108
