time_period_end,volume_traded,price_close
2018-03-28T01:00:00.000000,838884.17547342,5.698
2018-03-28T02:00:00.000000,252571.23571196,5.8386
2018-03-28T03:00:00.000000,480359.75190855,6.0
2018-03-28T04:00:00.000000,239573.2954695,6.0614
2018-03-28T05:00:00.000000,207944.65588456,5.9656
2018-03-28T06:00:00.000000,192507.44104279,6.0041
2018-03-28T07:00:00.000000,491518.63879078,6.1964
2018-03-28T08:00:00.000000,530457.09205146,6.14
2018-03-28T09:00:00.000000,233610.25168669,6.185
2018-03-28T10:00:00.000000,831761.01336953,6.4165
2018-03-28T11:00:00.000000,256735.45652044,6.328
2018-03-28T12:00:00.000000,310503.14958931,6.3492
2018-03-28T13:00:00.000000,337455.68952146,6.2342
2018-03-28T14:00:00.000000,286726.76676737,6.2271
2018-03-28T15:00:00.000000,463248.96858075,6.055
2018-03-28T16:00:00.000000,323851.95972283,6.0526
2018-03-28T17:00:00.000000,354946.32093193,6.15
2018-03-28T18:00:00.000000,223119.38474601,6.258
2018-03-28T19:00:00.000000,94333.62418854,6.248
2018-03-28T20:00:00.000000,135589.86799032,6.1841
2018-03-28T21:00:00.000000,93760.61455606,6.202
2018-03-28T22:00:00.000000,131185.51557066,6.1101
2018-03-28T23:00:00.000000,197811.87035849,6.1652
2018-03-29T00:00:00.000000,113611.37039913,6.1946
