time_period_end,volume_traded,price_close
2017-09-06T01:00:00.000000,1772946.22956642,1.081
2017-09-06T02:00:00.000000,1493760.98517743,1.0543
2017-09-06T03:00:00.000000,732945.52214794,0.9735
2017-09-06T04:00:00.000000,713640.79672935,0.95909
2017-09-06T05:00:00.000000,345272.42279916,0.9264
2017-09-06T06:00:00.000000,289093.78876529,0.93999
2017-09-06T07:00:00.000000,412225.66049491,0.88961
2017-09-06T08:00:00.000000,559134.56284477,0.9108
2017-09-06T09:00:00.000000,375490.43736179,0.9209
2017-09-06T10:00:00.000000,307839.3220865,0.89241
2017-09-06T11:00:00.000000,199489.40531232,0.8905
2017-09-06T12:00:00.000000,716419.64327727,0.8855
2017-09-06T13:00:00.000000,549617.74145028,0.90137
2017-09-06T14:00:00.000000,280150.60614917,0.878
2017-09-06T15:00:00.000000,286250.02966523,0.8833
2017-09-06T16:00:00.000000,530190.3834588,0.9349
2017-09-06T17:00:00.000000,758964.65316703,0.915
2017-09-06T18:00:00.000000,282411.05004102,0.94235
2017-09-06T19:00:00.000000,601190.27529248,0.9466
2017-09-06T20:00:00.000000,315621.4439307,0.94379
2017-09-06T21:00:00.000000,220478.85910977,0.94451
2017-09-06T22:00:00.000000,133199.12854037,0.93258
2017-09-06T23:00:00.000000,354009.59829599,0.929
2017-09-07T00:00:00.000000,172360.04458993,0.915
