time_exchange;time_coinpai;guid;price;base_amount;taker_side
2016-03-20T01:59:39.000000;2016-03-20T01:59:39.383000;516884ad-2117-497c-b0de-2dce934b31a8;10.601;19.01796481;SELL
2016-03-20T02:05:14.000000;2016-03-20T02:05:14.620000;8fea931b-411d-47f0-9f02-0ef0538fd4a1;10.65;20.0;SELL
2016-03-20T02:11:03.000000;2016-03-20T02:11:03.853000;d38e54ce-c5b3-4649-8ce2-d5468df194d0;10.666;0.1;BUY
2016-03-20T02:29:44.000000;2016-03-20T02:29:44.567000;d66b89ab-7b51-4af2-b646-85783d5fd9f8;10.6;0.91;SELL
2016-03-20T02:31:19.000000;2016-03-20T02:31:19.693000;226444f6-4e83-4c17-a1d9-74cc55fd611e;10.6;1.08286305;SELL
2016-03-20T02:31:20.000000;2016-03-20T02:31:20.513000;539752bc-78c8-47ae-a0da-8dd17156340d;10.6;18.00713695;SELL
2016-03-20T02:34:58.000000;2016-03-20T02:34:58.403000;b83d7dec-e609-4499-ba7c-3f073422d84d;10.56;20.0;SELL
2016-03-20T02:39:34.000000;2016-03-20T02:39:34.470000;c821895e-886c-44fb-a8c3-77fa7de5c161;10.519;0.48769159;SELL
2016-03-20T02:42:18.000000;2016-03-20T02:42:18.687000;c2a1b8ec-3783-446c-a011-22aa346477ad;10.556;0.49;BUY
2016-03-20T02:49:13.000000;2016-03-20T02:49:13.237000;7a43e975-889a-4a56-89f9-01c2a3d26ef6;10.5;11.4;SELL
2016-03-20T02:49:29.000000;2016-03-20T02:49:29.680000;c161c161-594a-40a1-93bd-298879840d3a;10.5;8.6;SELL
2016-03-20T02:49:29.000000;2016-03-20T02:49:29.690000;f45f20e2-214c-42df-9405-5cbc0d0e234f;10.49;0.3897;SELL
2016-03-20T02:49:29.000000;2016-03-20T02:49:29.710000;0104fd0f-14bb-41c0-b4a8-4ec29c8eec57;10.49;9.7803;SELL
2016-03-20T02:50:54.000000;2016-03-20T02:50:54.433000;6372b36f-4acd-4d83-b42f-019dbb9aa5c5;10.49;3.88045242;SELL
2016-03-20T02:51:05.000000;2016-03-20T02:51:05.673000;a75dc210-9ca6-4b30-ad82-90dc777517e4;10.49;6.33924758;SELL
2016-03-20T02:51:17.000000;2016-03-20T02:51:17.597000;a158f544-ef04-40f0-9660-fbdb796ed818;10.42;2.565494;SELL
2016-03-20T03:17:17.000000;2016-03-20T03:17:17.170000;158f5e85-15b2-48e2-bd46-67ab77a6a799;10.393;2.0;SELL
2016-03-20T03:18:46.000000;2016-03-20T03:18:46.553000;9fc8c28e-0049-406d-a424-c581f831fd84;10.552;2.3864112;BUY
2016-03-20T03:18:46.000000;2016-03-20T03:18:46.573000;f5197a22-c7f2-4625-8046-01908d31e5e9;10.552;2.3864112;BUY
2016-03-20T03:18:48.000000;2016-03-20T03:18:48.397000;41df39b3-cc90-4ab9-a8a9-667086f3f15c;10.574;1.08286305;BUY
2016-03-20T03:18:48.000000;2016-03-20T03:18:48.587000;7332f92c-2f05-4e73-a420-73888b2e6ba9;10.582;0.4872039;BUY
2016-03-20T03:19:13.000000;2016-03-20T03:19:13.957000;a19b7323-392f-4d18-b380-786975c97871;10.582;4.7728224;SELL
2016-03-20T03:23:56.000000;2016-03-20T03:23:57.467000;a93c8a06-db66-4edb-ba95-87ff50b57be0;10.605;1.08286305;BUY
2016-03-20T03:23:56.000000;2016-03-20T03:23:57.483000;81cb0a44-c306-4430-b8dd-c75f56b3608c;10.609;0.1;BUY
2016-03-20T03:23:56.000000;2016-03-20T03:23:57.483000;ba404892-9652-4c69-b63e-4984e3ae36e8;10.61;3.05172006;BUY
2016-03-20T03:23:59.000000;2016-03-20T03:23:59.143000;3a437632-e6d1-466d-9966-082662d38b64;10.61;0.49333422;BUY
2016-03-20T03:24:01.000000;2016-03-20T03:24:01.747000;5c4fccc5-e7f2-49d1-aa1b-09935247dd27;10.61;4.23458311;BUY
2016-03-20T03:24:17.000000;2016-03-20T03:24:17.390000;f39c374d-9812-454c-b0b7-655315fa5dda;10.61;22.22036261;BUY
2016-03-20T03:24:55.000000;2016-03-20T03:24:55.433000;8672c1dd-f108-4bb3-b8f3-ef358d2273e0;10.66;16.01601602;BUY
2016-03-20T03:24:56.000000;2016-03-20T03:24:56.270000;758ea037-5df1-4ddf-a456-46f6dfcb8cae;10.66;13.98398398;BUY
2016-03-20T03:24:56.000000;2016-03-20T03:24:56.273000;52cbaadc-304c-45c1-975c-ced906534b53;10.67;18.39970932;BUY
2016-03-20T03:25:22.000000;2016-03-20T03:25:22.990000;fa844cf0-21e2-407f-b6cd-a92030755052;10.67;32.3836933;BUY
2016-03-20T03:26:00.000000;2016-03-20T03:26:00.243000;491c9963-ce52-448e-bf89-44fee307cd13;10.67;16.83290408;BUY
2016-03-20T03:26:00.000000;2016-03-20T03:26:00.460000;69d70da0-3be9-4397-87bd-b1b33af5a4d4;10.67;32.3836933;BUY
2016-03-20T03:26:33.000000;2016-03-20T03:26:33.703000;c0b17538-5013-4682-96e1-d7433968ca0e;10.7;32.3836933;BUY
2016-03-20T03:26:34.000000;2016-03-20T03:26:34.243000;1e3f576d-90a2-42ba-bf8c-5e1f813d1c2c;10.7;8.27376943;BUY
2016-03-20T03:26:34.000000;2016-03-20T03:26:34.267000;70ede449-5b66-4476-adf7-d6476727845b;10.7;4.06190565;BUY
2016-03-20T03:26:34.000000;2016-03-20T03:26:34.750000;1e6d5670-60dd-4cbb-9778-920b34c59511;10.7;2.58401826;BUY
2016-03-20T03:26:34.000000;2016-03-20T03:26:34.820000;b182a151-1c4c-4f5d-9555-ed7831c58679;10.7;3.00900901;BUY
2016-03-20T03:26:35.000000;2016-03-20T03:26:35.880000;58e76069-8d8e-49c7-98ce-9e7fa7928133;10.7;0.5;BUY
2016-03-20T03:26:37.000000;2016-03-20T03:26:38.570000;69934ff3-42e1-449d-8052-69b5b1bf436f;10.7;0.5005005;BUY
2016-03-20T03:26:38.000000;2016-03-20T03:26:38.673000;74222385-b533-4643-87f0-c33e57ae7035;10.7;16.01601602;BUY
2016-03-20T03:26:43.000000;2016-03-20T03:26:43.313000;f68df175-9abe-46a2-9540-87465fd19e6c;10.7;15.51001299;BUY
2016-03-20T03:26:43.000000;2016-03-20T03:26:43.350000;158a4e7d-8c3e-4703-8eeb-55e3a91ea7be;10.7;2.02304518;BUY
