time_period_end,volume_traded,price_close
2018-01-23T01:00:00.000000,10041.45454861,994.94
2018-01-23T02:00:00.000000,5953.5497885,988.0
2018-01-23T03:00:00.000000,4891.787313,993.33
2018-01-23T04:00:00.000000,7439.78636973,1000.0
2018-01-23T05:00:00.000000,6588.92668228,975.64
2018-01-23T06:00:00.000000,15837.75324233,957.99
2018-01-23T07:00:00.000000,6587.69232167,953.1
2018-01-23T08:00:00.000000,7412.20252497,949.46
2018-01-23T09:00:00.000000,7810.87881554,974.99
2018-01-23T10:00:00.000000,4533.31303414,957.79
2018-01-23T11:00:00.000000,4841.52511581,946.3
2018-01-23T12:00:00.000000,14021.99214833,930.0
2018-01-23T13:00:00.000000,11298.25560577,927.0
2018-01-23T14:00:00.000000,8254.13919154,938.99
2018-01-23T15:00:00.000000,7735.60070085,953.51
2018-01-23T16:00:00.000000,12284.98720301,987.77
2018-01-23T17:00:00.000000,22045.11200435,1015.8
2018-01-23T18:00:00.000000,10373.22758153,1004.41
2018-01-23T19:00:00.000000,8189.72014203,998.0
2018-01-23T20:00:00.000000,8350.24927392,982.96
2018-01-23T21:00:00.000000,9093.50409663,998.22
2018-01-23T22:00:00.000000,4525.00284579,994.8
2018-01-23T23:00:00.000000,5136.19588328,1002.79
2018-01-24T00:00:00.000000,10727.34142251,984.03
