assetA_id,assetB_id,assetA_name,assetB_name,closing_price
1,4,BTC,USD,8185.286375957769
3,1,ETH,BTC,0.0574403577161443
3,4,ETH,USD,469.7329974040779
1,6,BTC,USDT,8187.9576615191345
3,6,ETH,USDT,470.18237911332403
14,1,NEO,BTC,0.004082106569548231
15,1,EOS,BTC,0.0010301376799111473
15,4,EOS,USD,8.4293
14,4,NEO,USD,33.362
